鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄31~60號,43.44,住,,,1071111,土地2建物1車位0,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850925.0,113.53,3,2,2,有,有,13300000,117150.0,,0.0,0,含增建或未登記建物。;,RPVNMLMLKINFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段241~270號,35.34,住,,,1071113,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991104.0,178.69,3,2,2,有,有,24880008,139236.0,坡道平面,0.0,0,向政府機關承購之案件。,RPUNMLKKJHOFFAA27CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段62巷1~30號,12.85,商,,,1071106,土地1建物1車位1,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322.0,191.89,4,2,2,有,有,41600000,216791.0,坡道平面,33.33,0,,RPTOMLSLKINFFCA48CA
松山區,房地(土地+建物)+車位,臺北市松山區三民路43巷1~30號,48.36,住,,,1071126,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951218.0,224.58,3,2,2,有,有,44180000,196723.0,坡道平面,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。民國102年12月23日簽訂之預約買賣，此標的為軍眷住宅。,RPRQMLOLKINFFDA18CA
松山區,房地(土地+建物)+車位,臺北市松山區南京東路四段1~30號,19.67,商,,,1071204,土地2建物2車位3,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971205.0,182.38,3,3,3,有,有,55000000,301568.0,升降機械,0.0,0,,RPOOMLQKJHOFFDA67CA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段212巷31~60號,23.44,住,,,1071110,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060926.0,182.37,3,2,2,有,有,42200000,231398.0,坡道平面,0.0,0,含增建或未登記建物。;,RPWNMLLLKINFFFA28CA
大安區,房地(土地+建物),臺北市大安區建國南路一段301~330號,4.92,住,,,1040929,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070412.0,40.09,0,0,0,無,有,18560000,462958.0,,0.0,0,本案簽訂日期104.09.29，於107.09.20讓渡。,RPVNMLRLKINFFFA78CA
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.09,商,,,1071205,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,190.5,3,2,2,有,有,39320000,206404.0,坡道平面,46.87,0,向政府機關承購之案件。;,RPPPMLLKJHOFFBA27DA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,59.25,住,,,1071114,土地1建物1車位2,十七層，十八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306.0,387.2,5,2,3,有,有,84000000,262750.0,坡道平面,90.34,6000000,,RPTNMLQJJHOFFDA08DA
大安區,房地(土地+建物)+車位,臺北市大安區仁愛路四段421~450號,9.77,住,,,1071008,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770511.0,194.55,2,2,2,有,有,51300000,263699.0,坡道平面,48.67,0,含增建或未登記建物。,RPUOMLQLKINFFFA78DA
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路65巷1~30號,17.98,住,,,1071203,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940825.0,133.57,3,2,1,有,有,23500000,175938.0,坡道平面,0.0,2500000,含增建或未登記建物。登記兩人共有。,RPUPMLSJJHOFFCA48DA
中山區,房地(土地+建物),臺北市中山區林森北路121~150號,2.49,商,,,1071117,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971215.0,29.8,0,0,1,無,有,5980000,200671.0,,0.0,0,,RPVNMLRLKINFFCA58DA
信義區,建物,臺北市信義區松信路50巷1~30號,0.0,,,,1071024,土地0建物1車位4,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021115.0,468.96,0,0,0,無,有,27909000,84699.0,坡道平面,184.08,3780000,,RPQNMLKKJHOFFDA17CA
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,15.75,商,,,1071130,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720915.0,163.79000000000005,3,2,2,有,有,31580000,192808.0,,0.0,0,含增建或未登記建物。;,RPQOMLMLKINFFDA67CA
信義區,房地(土地+建物)+車位,臺北市信義區光復南路541~570號,4.09,商,,,1071123,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,970822.0,66.83,1,1,1,有,有,14500000,216968.0,坡道平面,23.83,0,,RPSNMLOLKINFFDA97CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路三段31~60號,20.32,商,,,1071107,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061020.0,204.38,0,0,3,無,無,65000000,331381.0,其他,14.87,2200000,,RPVPMLPLKINFFCA48CA
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段364巷31~60號,40.56,住,,,1071204,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010625.0,187.87,3,2,2,有,有,27650000,147176.0,坡道平面,0.0,0,,RPVPMLQLKINFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區內江街121~150號,17.41,商,,,1071126,土地1建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040210.0,192.84,4,2,2,有,有,31700000,164385.0,,0.0,0,,RPOPMLQLKINFFBA77CA
